gt_record_id,record_id,mode,status,title,extraction_method,cost_usd,error_message,pdf_path,data_type,geospatial_info_dataset,spatial_range_km2,temporal_range,temp_range_i,temp_range_f,species,referred_dataset,time_series,multispecies,threatened_species,new_species_science,new_species_region,bias_north_south,valid_yn,reason_not_valid
37,10.1002/ece3.1029,pdf_native,success,Data from: Fitness dynamics within a poplar hybrid zone: I. Prezygotic and postzygotic barriers impacting a native poplar hybrid stand.,pdf_native,0.0179,,data\pdfs\fuster\10.1002_ece3.1029.pdf,"[""abundance"", ""genetic_analysis"", ""traits"", ""ecosystem_structure""]","[""sample"", ""site"", ""maps""]",1.36,2007 and 2009–2011,2007,2011,"[""Populus balsamifera"", ""Populus deltoides"", ""Populus (native hybrids, D \u00d7 B)"", ""Populus nigra"", ""Populus maximowiczii"", ""Populus laurifolia"", ""Populus trichocarpa"", ""Populus angustifolia"", ""Populus fremontii"", ""Melampsora larici-populina"", ""Melampsora medusae f. sp. deltoidae"", ""Melampsora occidentalis""]",Dryad data repository (doi:10.5061/dryad.63fr7),False,True,False,False,False,False,yes,
38,10.1371/journal.pone.0204445,pdf_native,success,Data from: Temporal dynamics in animal community assembly during post-logging succession in boreal forest,pdf_native,0.0226,,data\pdfs\fuster\10.1371_journal.pone.0204445.pdf,"[""abundance"", ""presence-absence""]","[""site"", ""maps"", ""site_ids""]",,Small mammal sampling: June–September 2007 and June–September 2011; Beetle sampling: 30 May–21 August 2011,2007,2011,"[""red-backed voles, Myodes gapperi"", ""red squirrel (Tamiasciurus hudsonicus)"", ""eastern chipmunk (Tamias striatus)"", ""shrews (Sorex spp.)"", ""deer mouse (Peromiscus maniculatus)"", ""lemming and rock vole category: rock vole (Microtus chrotorrhinus) and southern bog lemming (Synaptomys cooperi)"", ""ground-dwelling beetles (3894 individuals, 199 species or morphospecies; 58 species used in analyses)"", ""flying beetles (2411 individuals, 240 species or morphospecies; 48 species used in analyses)"", ""black spruce (Picea mariana)"", ""balsam fir (Abies balsamea)"", ""paper birch (Betula papyrifera)"", ""trembling aspen (Populus tremuloides)""]","Eco-forestry Information System, Ministère des Ressources naturelles et de la Faune du Québec; forest company records (Resolute Forest Products, Arbec Forest Products Inc.)",False,True,,,,True,yes,
39,10.1098/rspb.2014.0649,pdf_native,success,Data from: Severe recent decrease of adult body mass in a declining insectivorous bird population,pdf_native,0.0167,,data\pdfs\fuster\10.1098_rspb.2014.0649.pdf,"[""traits"", ""abundance"", ""presence-absence"", ""time_series""]","[""site"", ""site_ids"", ""geographic_features""]",10200.0,2005 to 2011,2005,2011,"[""Tachycineta bicolor (tree swallow)""]",Dryad Digital Repository: doi:10.5061/dryad.67t23,True,False,,,,,yes,
56,10.1111/eva.12315,pdf_native,success,Data from: Multidimensional environmental influences on timing of breeding in a tree swallow population facing climate change,pdf_native,0.0116,,data\pdfs\fuster\10.1111_eva.12315.pdf,"[""time_series"", ""abundance"", ""presence-absence"", ""traits""]","[""site"", ""sample"", ""maps"", ""site_ids""]",10200.0,from 2004 to 2013,2004,2013,"[""Tachycineta bicolor (tree swallow)""]",Dryad Digital Repository: http://dx.doi.org/10.5061/dryad.87jb3,True,False,False,False,False,False,yes,
71,10.1111/1365-2664.12675,pdf_native,success,Data from: Threshold dynamics in plant succession after tree planting in agricultural riparian zones,pdf_native,0.0167,,data\pdfs\fuster\10.1111_1365-2664.12675.pdf,"[""abundance"", ""ecosystem_structure""]","[""site"", ""site_ids"", ""maps""]",259.0,Sampling in summer 2012; tree plantings occurred 1995–2009 producing a chronosequence of 3–17 years since planting,1995,2012,"[""Fraxinus pennsylvanica"", ""Acer saccharum"", ""Picea glauca"", ""Larix laricina"", ""Quercus rubra"", ""Quercus macrocarpa"", ""Bromus inermis"", ""Phalaris arundinacea"", ""Equisetum arvense"", ""Artemisia vulgaris"", ""Solidago canadensis"", ""Dryopteris carthusiana"", ""Athyrium filix-femina"", ""Trillium erectum"", ""Rubus pubescens"", ""Agrimonia striata"", ""Fragaria virginiana"", ""Onoclea sensibilis"", ""Solidago rugosa"", ""Thalictrum pubescens""]",Dryad Digital Repository doi:10.5061/dryad.b46k4 (Bourgeois et al. 2016),False,True,,,,False,yes,
89,10.1890/12-2118.1,pdf_native,success,Data from: Logging-induced changes in habitat network connectivity shape behavioral interactions in the wolf-caribou-moose system,pdf_native,0.0168,,data\pdfs\fuster\10.1890_12-2118.1.pdf,"[""time_series"", ""presence-only""]","[""sample"", ""site"", ""site_ids"", ""maps"", ""distribution"", ""geographic_features""]",33900.0,March 2005 to March 2009 (winter seasons; moose data to March 2008),2005,2009,"[""Rangifer tarandus caribou (caribou)"", ""Alces alces (moose)"", ""Canis lupus (wolf)""]",Dryad repository DOI: 10.5061/dryad.h65f4,True,True,True,False,False,True,yes,
91,10.1002/ece3.1266,pdf_native,success,Data from: Genetic connectivity among swarming sites in the wide ranging and recently declining little brown bat (Myotis lucifugus),pdf_native,0.0164,,data\pdfs\fuster\10.1002_ece3.1266.pdf,"[""genetic_analysis""]","[""site"", ""site_ids"", ""administrative_units"", ""maps""]",,Autumns 2009–2011 (10 August to 06 October),2009,2011,"[""Myotis lucifugus"", ""little brown bat""]",,,False,,False,False,False,yes,
101,10.1371/journal.pone.0077514,pdf_native,success,Data from: Disentangling woodland caribou movements in response to clearcuts and roads across temporal scales,pdf_native,0.0146,,data\pdfs\fuster\10.1371_journal.pone.0077514.pdf,"[""time_series""]","[""sample"", ""site_ids"", ""maps"", ""geographic_features""]",31000.0,2004 to 2010,2004,2010,"[""Rangifer tarandus caribou"", ""woodland caribou""]",Ecoforest maps provided by the Ministère des Ressources naturelles et de la Faune (MRNF) updated annually; primary dataset archived on Dryad (doi:10.5061/dryad.n3c2f),True,False,True,False,False,True,yes,
104,10.1038/s41598-018-34822-9,pdf_native,success,Data from: Compensatory conservation measures for an endangered caribou population under climate change,pdf_native,0.0142,,data\pdfs\fuster\10.1038_s41598-018-34822-9.pdf,"[""distribution""]","[""maps"", ""distribution"", ""range"", ""geographic_features"", ""site""]",25000.0,Telemetry: 1998–2001 (VHF); scenario landscapes projected to 2080; simulations were 4-year runs (simulated data aggregated over last 3 years),1998,2080,"[""Rangifer tarandus caribou (Atlantic-Gasp\u00e9sie caribou)""]","Habitat quality raster layers for 24 scenarios (DRYAD: https://doi.org/10.5061/dryad.n726pq6); ecoforestry maps and road database from Ministère des Forêts, de la Faune et des Parcs du Québec (MFFP); caribou telemetry data provided by Université du Québec à Rimouski.",False,False,True,False,False,False,yes,
123,10.1098/rspb.2014.0502,pdf_native,success,Data from: Temporally dynamic habitat suitability predicts genetic relatedness among caribou,pdf_native,0.0147,,data\pdfs\fuster\10.1098_rspb.2014.0502.pdf,"[""genetic_analysis"", ""presence-only"", ""distribution"", ""time_series""]","[""sample"", ""site"", ""range"", ""maps""]",1365000.0,Daily models across the annual cycle (Julian days 1–365); habitat suitability maps produced per Julian day,,,"[""Rangifer tarandus"", ""caribou""]",doi:10.5061/dryad.qn1cj,True,False,,,,True,yes,
175,10.5558/tfc76653-4,pdf_native,success,"Ã‰valuation de la coupe avec protection de la rÃ©gÃ©nÃ©ration et des sols comme mÃ©thode de rÃ©gÃ©nÃ©ration de peuplements mÃ©langÃ©s du domaine bioclimatique de la sapiniÃ¨re Ã  bouleau jaune de l'est du QuÃ©bec, Canada",pdf_native,0.0182,,data\pdfs\fuster\10.5558_TFC76653-4.pdf,"[""abundance""]","[""site"", ""site_ids"", ""geographic_features"", ""administrative_units""]",35.0,Primary field sampling in 1997 (sites were harvested in 1992). Growth increment data refer to 1996–1997; short-term projections made to 2002.,1996,1997,"[""Abies balsamea"", ""Picea glauca"", ""Betula alleghaniensis"", ""Betula papyrifera"", ""Acer spicatum"", ""Prunus pensylvanica"", ""Rubus idaeus"", ""Epilobium angustifolium"", ""Corylus cornuta"", ""Sorbus americana"", ""Sambucus pubens""]",,False,True,False,False,False,False,yes,
201,10.1086/671900,pdf_native,success,Comparative Physiology and Relative Swimming Performance of Three Redhorse (Moxostoma spp.) Species: Associations with Fishway Passage Success*,pdf_native,0.0149,,data\pdfs\fuster\10.1086_671900.pdf,"[""abundance"", ""presence-absence"", ""traits""]","[""site"", ""site_ids"", ""maps""]",,"Respirometry: May 30–June 13, 2011; Swimming and blood physiology experiments: April 22–May 25, 2012; Tagging: May 5–14 (silver & shorthead) and May 24–25 (river) 2012; Fishway monitoring: May 14–July 10, 2012.",2011,2012,"[""Moxostoma anisurum"", ""Moxostoma carinatum"", ""Moxostoma macrolepidotum""]",,,True,,,,,yes,
208,10.3389/fmars.2021.637546,pdf_native,success,Determining the Ecological Status of Benthic Coastal Communities: A Case in an Anthropized Sub-Arctic Area,pdf_native,0.0154,,data\pdfs\fuster\10.3389_fmars.2021.637546.pdf,"[""abundance"", ""density"", ""traits"", ""ecosystem_structure"", ""species_richness""]","[""sample"", ""site"", ""maps"", ""site_ids""]",,July 2017 (benthic sampling); heavy metal concentrations interpolated from 2014 and 2016 data,2017,2017,"[""Micronephthys neotena"", ""Eudorellopsis integra"", ""Protomedeia grandimana"", ""Nematoda (adults)"", ""Macoma calcarea"", ""Echinarachnius parma"", ""Strongylocentrotus sp."", ""Cossura longocirrata"", ""Eteone sp."", ""Hediste diversicolor"", ""Praxillella praetermissa"", ""Ameroculodes edwardsi"", ""Ampelisca vadorum"", ""Byblis gaimardii"", ""Lysianassidae"", ""Maera danae"", ""Phoxocephalus holbolli"", ""Pontoporeia femorata"", ""Quasimelita formosa"", ""Quasimelita quadrispinosa""]",Carrière (2018) Observatoire de la Baie de Sept Îles database (heavy metal concentrations from 2014 and 2016) used for interpolation,False,True,,,,True,yes,
225,10.1371/journal.pone.0109261,pdf_native,success,"Effects of Habitat-Forming Species Richness, Evenness, Identity, and Abundance on Benthic Intertidal Community Establishment and Productivity",pdf_native,0.0137,,data\pdfs\fuster\10.1371_journal.pone.0109261.pdf,"[""abundance"", ""presence-absence"", ""ecosystem_function"", ""species_richness""]","[""site"", ""maps""]",,"May 14, 2011 to September 4, 2011",2011,2011,"[""Fucus distichus edentatus"", ""Fucus vesiculosus"", ""Mytilus spp. (Mytilus edulis, M. trossulus, and hybrids)"", ""Ralfsia clavata (encrusting alga)"", ""Gammarus spp."", ""Lacuna vincta"", ""Margarites helicinus"", ""Polychaeta (various)"", ""Additional 45 associated species reported (13 algae, 32 animals) as per Table S1""]",,False,True,False,False,False,False,yes,
253,10.1111/eva.13248,pdf_native,success,Genomic data support management of anadromous Arctic Char fisheries in Nunavik by highlighting neutral and putatively adaptive genetic variation,pdf_native,0.0184,,data\pdfs\fuster\10.1111_eva.13248.pdf,"[""genetic_analysis""]","[""sample"", ""site"", ""site_ids"", ""maps""]",,,,,"[""Salvelinus alpinus (Arctic Char) \u2014 650 individuals from 23 sampling locations; mitochondrial sequences for subset (n = 10\u201334 per site); 18,112 filtered SNPs (GBS)""]",NCBI SRA Bioproject PRJNA655216 (raw sequences); reference genome Salvelinus sp. ASM291031v2 (NCBI RefSeq GCF_002910315.2),False,False,,,,True,yes,
258,10.1111/ecog.00997,pdf_native,success,"Host phenology, geographic range size and regional occurrence explain interspecific variation in damselflyâ€“water mite associations",pdf_native,0.0173,,data\pdfs\fuster\10.1111_ECOG.00997.pdf,"[""abundance"", ""presence-absence"", ""genetic_analysis"", ""species_richness"", ""traits""]","[""site"", ""maps"", ""site_ids""]",,June–July 2011 (weekly visits for 8 weeks),2011,2011,"[""Amphiagrion saucium"", ""Chromagrion conditum"", ""Coenagrion interrogatum"", ""Coenagrion resolutum"", ""Enallagma aspersum"", ""Enallagma boreale"", ""Enallagma carunculatum"", ""Enallagma cyathigerum"", ""Enallagma ebrium"", ""Enallagma geminatum"", ""Enallagma hageni"", ""Enallagma signatum"", ""Ischnura posita"", ""Ischnura verticalis"", ""Nehalennia gracilis"", ""Nehalennia irene"", ""Arrenurus (water mites) - 15 OTUs""]",Odonata Central (Abbott 2007) used for host range estimates; COI sequences submitted to GenBank (KJ709142-KJ709343); barcoding performed via BOLD/CCDB,True,True,,,,,yes,
271,10.1603/0013-8746%282006%2999%5b536%3aiopmiq%5d2.0.co%3b2,pdf_native,success,Inventory of Predacious Mites in Quebec Commercial Apple Orchards Where Integrated Pest Management Programs Are Implemented,pdf_native,0.0128,,data\pdfs\fuster\10.1603_0013-8746%282006%2999%5B536%3AIOPMIQ%5D2.0.CO%3B2.pdf,"[""abundance"", ""time_series""]","[""site"", ""administrative_units""]",,Weekly sampling from 28 June–28 September 1999 and 12 July–13 September 2000 (sampling years 1999–2000).,1999,2000,"[""Amblyseius fallacis"", ""Typhlodromus caudiglans"", ""Agistemus fleschneri"", ""Anystis baccarum"", ""Balaustium sp."", ""Typhlodromus conspicuus"", ""Typhlodromus herbertae"", ""Typhlodromus longipilis"", ""Typhlodromus bakeri"", ""Typhlodromus pyri"", ""Amblyseius okanagensis"", ""Amblyseius finlandicus"", ""Phytoseius sp.""]",,True,True,,,True,,yes,
315,10.1603/en10045,pdf_native,success,Selected Beetle Assemblages Captured in Pitfall Traps Baited with Deer Dung or Meat in Balsam Fir and Sugar Maple Forests of Central Quebec,pdf_native,0.0117,,data\pdfs\fuster\10.1603_EN10045.pdf,"[""abundance"", ""species_richness""]","[""sample"", ""site""]",,5–13 July 2006,2006,2006,"[""Hister furtivus LeConte"", ""Margarinotus egregius (Casey)"", ""Margarinotus faedatus (LeConte)"", ""Margarinotus hudsonicus (Casey)"", ""Margarinotus lecontei Wenzel"", ""Cercyon assecla Smetana"", ""Cercyon minusculus Melsheimer"", ""Cercyon pygmaeus (Illiger)"", ""Cryptopleurum minutum Fabricius"", ""Gnathoncus communis (Marseul)"", ""Dialytes striatulus (Say)"", ""Onthophagus hecate hecate (L.)"", ""Necrodes surinamensis Fabricius"", ""Necrophila americana L."", ""Oiceoptoma noveboracense (Forster)"", ""Nicrophorus defodiens Mannerheim"", ""Nicrophorus investigator Zetterstedt"", ""Nicrophorus orbicollis Say"", ""Nicrophorus pustulatus Herschel"", ""Nicrophorus sayi Laporte"", ""Nicrophorus tomentosus Weber""]",,False,True,,,,False,yes,
343,10.3390/ijgi7090335,pdf_native,success,Towards Modelling Future Trends of Quebec's Boreal Birds' Species Distribution under Climate Change,pdf_native,0.0174,,data\pdfs\fuster\10.3390_ijgi7090335.pdf,"[""abundance"", ""presence-absence"", ""distribution"", ""species_richness""]","[""sample"", ""site"", ""maps"", ""distribution"", ""site_ids""]",1600000.0,Bird observations: 1980–2013 (used for current models); climate baseline: 1950–2000; future projection periods: 2041–2060 (2050) and 2061–2080 (2070).,1980,2013,"[""Setophaga ruticilla"", ""Setophaga castanea"", ""Poecile atricapillus"", ""Poecile hudsonicus"", ""Melanitta americana"", ""Mniotilta varia"", ""Corvus corax"", ""Acanthis flammea"", ""Junco hyemalis"", ""Hesperiphona vespertina"", ""Passerella iliaca"", ""Regulus satrapa"", ""Perisoreus canadensis"", ""Melospiza lincolnii"", ""Lanius excubitor"", ""Contopus cooperi"", ""Haemorhous purpureus"", ""Pinicola enucleator"", ""Setophaga pinus"", ""Euphagus carolinus"", ""Sitta canadensis"", ""Regulus calendula"", ""Loxia curvirostra"", ""Vireo olivaceus"", ""Bonasa umbellus"", ""Falcipennis canadensis"", ""Tringa solitaria"", ""Actitis macularius"", ""Melanitta perspicillata"", ""Melospiza georgiana"", ""Catharus ustulatus"", ""Catharus fuscescens"", ""Zonotrichia leucophrys"", ""Numenius phaeopus"", ""Loxia leucoptera"", ""Melanitta deglandi"", ""Empidonax flaviventris""]",eBird (bird observations); WorldClim (bioclimatic variables); Natural Resources Canada Canadian Digital Elevation Model; Global Forest Watch Canada (anthropogenic disturbances); Canadian Forest Inventory (2001) for percent forested/wet area.,False,True,,,,True,yes,
351,10.1603/0013-8746%282005%29098%5b0565%3awccdaa%5d2.0.co%3b2,pdf_native,success,Weevil (Coleoptera: Curculionoidea) Diversity and Abundance in Two Quebec Vineyards,pdf_native,0.0146,,data\pdfs\fuster\10.1603_0013-8746%282005%29098%5B0565%3AWCCDAA%5D2.0.CO%3B2.pdf,"[""abundance"", ""time_series"", ""species_richness""]","[""site""]",0.014,June–September 1997; May–September 1998–1999,1997,1999,"[""Eurymycter fasciatus"", ""Trigonorhinus sticticus"", ""Apion sp."", ""Baris interstitialis"", ""Cosmobaris americana"", ""Dirabius rectirostris"", ""Madarellus undulatus"", ""Acanthoscelidius acephalus"", ""Amalus scortillum"", ""Auleutes nebulosus"", ""Ceutorhynchus americanus"", ""Ceutorhynchus erysimi"", ""Ceutorhynchus neglectus"", ""Ceutorhynchus omissus"", ""Ceutorhynchus oregonensis"", ""Ceutorhynchus typhae"", ""Glocianus punctiger"", ""Homorosoma sulcipenne"", ""Mononychus vulpeculus"", ""Pelenomus fuliginosus"", ""Pelenomus waltoni"", ""Perigaster cretura"", ""Rhinoncus bruchoides"", ""Rhinoncus castor"", ""Rhinoncus pericarpius"", ""Rhinoncus perpendicularis"", ""Acoptus suturalis"", ""Cryptorhynchus lapathi"", ""Tyloderma nigrum"", ""Anthonomus corvulus"", ""Anthonomus quadrigibbus"", ""Anthonomus rubidus"", ""Anthonomus signatus"", ""Gymnetron antirrhini"", ""Gymnetron tetrum"", ""Isochnus rufipes"", ""Pseudanthonomus sp."", ""Smicronyx sp."", ""Tachyerges niger"", ""Tachyerges salicis"", ""Tychius meliloti"", ""Tychius picirostris"", ""Tychius stephensi"", ""Listronotus delumbis"", ""Listronotus o. oregonensis"", ""Listronotus sparsus"", ""Dryophthorus americanus"", ""Sphenophorus callosus"", ""Sphenophorus minimus"", ""Sphenophorus parvulus"", ""Sphenophorus zeae"", ""Barypeithes pellucidus"", ""Otiorhynchus ovatus"", ""Otiorhynchus sulcatus"", ""Phyllobius oblongus"", ""Polydrusus cervinus"", ""Polydrusus impressifrons"", ""Polydrusus sericeus"", ""Sciaphilus asperatus"", ""Sitona cylindricollis"", ""Sitona flavescens"", ""Sitona hispidulus"", ""Sitona lineellus"", ""Trachyphloeus bifoveolatus"", ""Grypus equiseti"", ""Tanysphyrus lemnae"", ""Hypera nigrirostris"", ""Hypera zoilus"", ""Cleonis pigra"", ""Magdalis barbita"", ""Lepyrus palustris"", ""Piazorhinus pictus"", ""Piazorhinus scutellaris""]",,True,True,,False,True,,yes,
