gt_record_id,record_id,mode,status,title,extraction_method,cost_usd,error_message,pdf_path,data_type,geospatial_info_dataset,spatial_range_km2,temporal_range,temp_range_i,temp_range_f,species,referred_dataset,time_series,multispecies,threatened_species,new_species_science,new_species_region,bias_north_south,valid_yn,reason_not_valid
37,10.1002/ece3.1029,abstract,success,Data from: Fitness dynamics within a poplar hybrid zone: I. Prezygotic and postzygotic barriers impacting a native poplar hybrid stand.,abstract_text,0.0062,,data\pdfs\fuster\10.1002_ece3.1029.pdf,"[""traits"", ""genetic_analysis"", ""ecosystem_structure""]",,,,,,"[""balsam poplar (Populus balsamifera L.)"", ""eastern cottonwood (P. deltoides Marsh.)"", ""their natural hybrids"", ""Melampsora larici-populina"", ""M. medusae f.sp. deltoidae"", ""M. occidentalis""]",,,True,,,,,yes,
38,10.1371/journal.pone.0204445,abstract,success,Data from: Temporal dynamics in animal community assembly during post-logging succession in boreal forest,abstract_text,0.0078,,data\pdfs\fuster\10.1371_journal.pone.0204445.pdf,"[""abundance""]","[""site""]",,Samples collected in 2007 and 2011 across a successional gradient (stands aged 4–70 years post-harvest; authors state gradient 5–66 years) and old-growth forests (>=120 years).,2007,2011,"[""small mammals"", ""flying beetles"", ""ground dwelling beetles"", ""rock vole (Microtus chrotorrhinus)"", ""southern bog lemming (Synaptomys cooperi)""]",,,True,,,,,yes,
39,10.1098/rspb.2014.0649,abstract,success,Data from: Severe recent decrease of adult body mass in a declining insectivorous bird population,abstract_text,0.0083,,data\pdfs\fuster\10.1098_rspb.2014.0649.pdf,"[""traits"", ""time_series""]","[""administrative_units""]",,2005–2011,2005,2011,"[""Tachycineta bicolor"", ""tree swallow""]",,True,False,,,,,yes,
56,10.1111/eva.12315,abstract,success,Data from: Multidimensional environmental influences on timing of breeding in a tree swallow population facing climate change,abstract_text,0.0073,,data\pdfs\fuster\10.1111_eva.12315.pdf,"[""traits"", ""density""]","[""sample"", ""site"", ""site_ids""]",,,,,"[""Tree swallow (Tachycineta bicolor)""]",,True,False,,,,,yes,
71,10.1111/1365-2664.12675,abstract,success,Data from: Threshold dynamics in plant succession after tree planting in agricultural riparian zones,abstract_text,0.008,,data\pdfs\fuster\10.1111_1365-2664.12675.pdf,"[""abundance""]","[""site""]",,sites planted 3–17 years prior to sampling (planting ages of sampled sites),,,,,False,True,,,,,yes,
89,10.1890/12-2118.1,abstract,success,Data from: Logging-induced changes in habitat network connectivity shape behavioral interactions in the wolf-caribou-moose system,abstract_text,0.0085,,data\pdfs\fuster\10.1890_12-2118.1.pdf,"[""time_series""]","[""sample"", ""site""]",,2005-2009 (winter),2005,2009,"[""Rangifer tarandus caribou"", ""Alces alces"", ""Canis lupus""]",,True,True,,,,True,yes,
91,10.1002/ece3.1266,abstract,success,Data from: Genetic connectivity among swarming sites in the wide ranging and recently declining little brown bat (Myotis lucifugus),abstract_text,0.0058,,data\pdfs\fuster\10.1002_ece3.1266.pdf,"[""genetic_analysis""]","[""site"", ""administrative_units""]",,,,,"[""Myotis lucifugus"", ""little brown bat""]",,,False,,,,,yes,
101,10.1371/journal.pone.0077514,abstract,success,Data from: Disentangling woodland caribou movements in response to clearcuts and roads across temporal scales,abstract_text,0.005,,data\pdfs\fuster\10.1371_journal.pone.0077514.pdf,"[""time_series""]","[""sample""]",,2004 to 2010,2004,2010,"[""woodland caribou"", ""Rangifer tarandus caribou""]",,True,False,True,False,False,,yes,
104,10.1038/s41598-018-34822-9,abstract,success,Data from: Compensatory conservation measures for an endangered caribou population under climate change,abstract_text,0.0062,,data\pdfs\fuster\10.1038_s41598-018-34822-9.pdf,"[""distribution""]","[""distribution""]",,seasonal (winter & summer),,,"[""Rangifer tarandus caribou"", ""caribou""]",,,False,True,,,,,
123,10.1098/rspb.2014.0502,abstract,success,Data from: Temporally dynamic habitat suitability predicts genetic relatedness among caribou,abstract_text,0.007,,data\pdfs\fuster\10.1098_rspb.2014.0502.pdf,"[""genetic_analysis"", ""presence-only"", ""time_series""]","[""sample"", ""site_ids""]",,,,,"[""caribou"", ""Rangifer tarandus"", ""Caribou""]",Yannic_data_DRYAD_RSPB-2014-0502,True,False,,,,,yes,
175,10.5558/tfc76653-4,abstract,success,"Ã‰valuation de la coupe avec protection de la rÃ©gÃ©nÃ©ration et des sols comme mÃ©thode de rÃ©gÃ©nÃ©ration de peuplements mÃ©langÃ©s du domaine bioclimatique de la sapiniÃ¨re Ã  bouleau jaune de l'est du QuÃ©bec, Canada",abstract_text,0.006,,data\pdfs\fuster\10.5558_TFC76653-4.pdf,"[""abundance""]","[""sample"", ""site""]",,five years after logging,,,"[""balsam fir (Abies balsamea (L.) Mill.)"", ""yellow birch (Betula alleghaniensis Britton)"", ""mountain maple (Acer spicatum Lam.)"", ""pin cherry (Prunus pensylvanica (L.))""]",,False,True,,,,,yes,
201,10.1086/671900,abstract,success,Comparative Physiology and Relative Swimming Performance of Three Redhorse (Moxostoma spp.) Species: Associations with Fishway Passage Success*,abstract_text,0.0063,,data\pdfs\fuster\10.1086_671900.pdf,"[""traits"", ""other""]","[""site""]",,2010 and 2012,2010,2012,"[""Moxostoma anisurum"", ""Moxostoma carinatum"", ""Moxostoma macrolepidotum""]",,,True,,,,,,
208,10.3389/fmars.2021.637546,abstract,success,Determining the Ecological Status of Benthic Coastal Communities: A Case in an Anthropized Sub-Arctic Area,abstract_text,0.006,,data\pdfs\fuster\10.3389_fmars.2021.637546.pdf,"[""abundance"", ""species_richness"", ""ecosystem_structure""]","[""site"", ""administrative_units""]",,,,,,,,True,,,,,yes,
225,10.1371/journal.pone.0109261,abstract,success,"Effects of Habitat-Forming Species Richness, Evenness, Identity, and Abundance on Benthic Intertidal Community Establishment and Productivity",abstract_text,0.0065,,data\pdfs\fuster\10.1371_journal.pone.0109261.pdf,"[""abundance"", ""ecosystem_function"", ""ecosystem_structure""]",,,Over a 16-week period,,,"[""macroalgae"", ""mussels"", ""Fucus distichus edentatus"", ""F. vesiculosus"", ""Mytilus spp.""]",,,True,,,,,,
253,10.1111/eva.13248,abstract,success,Genomic data support management of anadromous Arctic Char fisheries in Nunavik by highlighting neutral and putatively adaptive genetic variation,abstract_text,0.0056,,data\pdfs\fuster\10.1111_eva.13248.pdf,"[""genetic_analysis""]","[""site""]",,,,,"[""Arctic Char (Salvelinus alpinus)""]",,,False,,,,True,yes,
258,10.1111/ecog.00997,abstract,success,"Host phenology, geographic range size and regional occurrence explain interspecific variation in damselflyâ€“water mite associations",abstract_text,0.0062,,data\pdfs\fuster\10.1111_ECOG.00997.pdf,"[""abundance"", ""presence-absence"", ""traits"", ""genetic_analysis"", ""species_richness""]","[""site"", ""administrative_units""]",,,,,"[""Coenagrionidae (damselflies)"", ""Arrenuridae (water mites)""]",,,True,,,,,,
271,10.1603/0013-8746%282006%2999%5b536%3aiopmiq%5d2.0.co%3b2,abstract,success,Inventory of Predacious Mites in Quebec Commercial Apple Orchards Where Integrated Pest Management Programs Are Implemented,abstract_text,0.0102,,data\pdfs\fuster\10.1603_0013-8746%282006%2999%5B536%3AIOPMIQ%5D2.0.CO%3B2.pdf,"[""abundance""]","[""administrative_units""]",,1999 to 2000,1999,2000,"[""Amblyseius fallacis (Garman)"", ""Typhlodromus caudiglans Schuster (Acari: Phytoseiidae)"", ""Agistemus fleschneri Summers (Acari: Stigmaeidae)"", ""Typhlodromus conspicuous (Garman)"", ""Typhlodromus herbertae Chant"", ""Typhlodromus longipilus Nesbitt"", ""Typhlodromus bakeri (Garman)"", ""Typhlodromus pyri Scheuten"", ""Amblyseius okanagensis (Chant)"", ""Amblyseius finlandicus (Oudemans)"", ""Anystis baccarum (L.) (Acari: Anystidae)"", ""Balaustium sp. (Acari: Erythraeidae)"", ""Tetranychid mites"", ""T. conspicuus""]",,,True,,,True,,yes,
315,10.1603/en10045,abstract,success,Selected Beetle Assemblages Captured in Pitfall Traps Baited with Deer Dung or Meat in Balsam Fir and Sugar Maple Forests of Central Quebec,abstract_text,0.0056,,data\pdfs\fuster\10.1603_EN10045.pdf,"[""abundance""]","[""site""]",,,,,"[""coprophilous and necrophagous beetles"", ""Histeridae"", ""Hydrophilidae"", ""Scarabaeidae"", ""Silphidae"", ""Ptilidae"", ""Abies balsamea (L.) Miller"", ""Acer saccharum Marshall"", ""red deer""]",,,True,,,,,yes,
343,10.3390/ijgi7090335,abstract,success,Towards Modelling Future Trends of Quebec's Boreal Birds' Species Distribution under Climate Change,abstract_text,0.0073,,data\pdfs\fuster\10.3390_ijgi7090335.pdf,"[""abundance"", ""distribution"", ""species_richness""]","[""distribution"", ""maps""]",,,,,"[""resident bird species""]",,,True,,,,True,yes,
351,10.1603/0013-8746%282005%29098%5b0565%3awccdaa%5d2.0.co%3b2,abstract,success,Weevil (Coleoptera: Curculionoidea) Diversity and Abundance in Two Quebec Vineyards,abstract_text,0.0081,,data\pdfs\fuster\10.1603_0013-8746%282005%29098%5B0565%3AWCCDAA%5D2.0.CO%3B2.pdf,"[""abundance"", ""species_richness""]","[""site""]",,1997–1999,1997,1999,"[""Madarellus undulatus (Say)"", ""Barypeithes pellucidus (Boheman)"", ""Otiorhynchus ovatus (L.)"", ""Otiorhynchus sulcatus (F.)"", ""Ceutorhynchus oregonensis Dietz"", ""Pelenomus waltoni (Boheman)"", ""Rhinoncus perpendicularis (Reiche)"", ""Sphenophorus minimus Hart"", ""73 species in three families of Curculionoidea"", ""Curculionidae"", ""Ceutorhynchinae"", ""Curculioninae"", ""Entiminae""]",,True,True,,,True,,,
